"","plot","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","obs_skill.2014A","obs_skill.2014B","obs_skill.2015A","obs_skill.2015B","obs_skill.2015C","obs_skill.2016A","obs_skill.2016B","obs_skill.2016C","doy.2014A","doy.2014B","doy.2015A","doy.2015B","doy.2015C","doy.2016A","doy.2016B","doy.2016C","hr.rise.2014A","hr.rise.2014B","hr.rise.2015A","hr.rise.2015B","hr.rise.2015C","hr.rise.2016A","hr.rise.2016B","hr.rise.2016C","HOURLYDRYBULBTEMPC.2014A","HOURLYDRYBULBTEMPC.2014B","HOURLYDRYBULBTEMPC.2015A","HOURLYDRYBULBTEMPC.2015B","HOURLYDRYBULBTEMPC.2015C","HOURLYDRYBULBTEMPC.2016A","HOURLYDRYBULBTEMPC.2016B","HOURLYDRYBULBTEMPC.2016C","HOURLYWindSpeed.2014A","HOURLYWindSpeed.2014B","HOURLYWindSpeed.2015A","HOURLYWindSpeed.2015B","HOURLYWindSpeed.2015C","HOURLYWindSpeed.2016A","HOURLYWindSpeed.2016B","HOURLYWindSpeed.2016C","surv_ct14","surv_ct15","surv_ct16","area","pct_canopy","num_woody_stems","pct_bunchgrass","num_mounds","pct_bluestem","num_blowouts","num_liatris_stems","num_open_oaks","num_milkweed_stems","litter_depth","pct_nonbunchgrass","tot_grass","avg_liatris","totgrass.z","bunchgrass.z","oaks.z","canopy.z","numwood.z","mounds.z","blowouts.z","plotlvl_liatris.z","plotlvl_milkweed.z","litter.z","DY_pre2015","DY_ge2015","DY_pre2014","DY_ge2014","UDY_ge2015","burned_pre2015","harvest_pre2015","type_pre2015","burnGraze_ge2015","harvest_ge2015","type_ge2015","elev_CV.z"
"1",1,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,168,259,158,222,NA,244,NA,NA,6.56033352216085,4.94500418199433,9.31044551253319,6.18274464865526,NA,12.5920574147171,NA,NA,24.4,21.7,25.6,24.4,NA,21.1,NA,NA,10,6,13,8,NA,5,NA,NA,6,6,3,"SNWR",12.8,5,42,1,1,0,0,5.2,0.25,0.025,5,47,8.41666666666667,1.03288677317772,1.50132107834989,0.691442827025023,-0.859152325208743,-0.703433737820583,1.86812068191265,-0.130188910980824,0.706962826246229,0,-0.957177961161705,0,0,0,0,0,0,0,"none",0,0,"none",1.7037760007538
"2",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,1,1,1,1,1,175,258,151,228,232,123,236,244,11.7496368469795,11.1320001966423,12.5097597395711,8.34499495665232,9.11387101531029,10.8515325415134,7.87092764993509,11.8253907480505,20,20,19.4,21.7,24.4,22.8,25.6,22.2,3,9,11,8,15,21,13,5,6,9,9,"SNWR",18.6,2,34,0,1,0,0,2.2,0.2,0.05,17,51,1.08854166666667,1.21327029962901,1.05693154556352,-0.0972244006037246,-0.65786248638578,-1.13299306710899,-0.54209406186269,-0.130188910980824,-0.712692998781191,-0.103926632192894,-0.893474069781512,0,0,0,0,0,0,0,"none",0,0,"none",0.0786786752430142
"3",3,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,1,0,174,225,160,222,NA,158,229,243,2.78871349328094,8.58412878771623,7.80239903628826,8.04941131532192,NA,10.4258378371265,13.5463048637576,7.26231124016974,21.7,26.1,24.4,25.6,NA,21.7,23.9,23.9,3,8,8,6,NA,13,3,7,6,6,9,"SNWR",0,12,52,0.6,2,0,0,12.6,0,0,6,58,6.84166666666667,1.52894147091876,2.05680799433285,2.63682198850927,-1.30337817640425,0.298871363852354,0.904034784402512,-0.130188910980824,0.401842768329888,-0.519633160964472,-1.0208818525419,1,0,1,0,0,1,0,"burned",0,0,"none",-1.02517261887525
"4",4,"1","1","1","0","0","0","4","0","0","6","0","1","0","0","0","0","0","0","0","8","13","0","1","1",1,1,1,1,1,1,1,0,168,230,158,222,232,123,236,243,4.99366685549418,10.5828816200627,8.47711217919985,7.11607798198859,8.06387101531029,10.7681992081801,7.12092764993509,8.01231124016974,21.7,27.8,25.6,25.6,23.9,22.8,25.6,25,15,8,13,8,14,21,13,5,6,9,9,"SNWR",6.6,7,35,1.2,1,0,0,11.6,1.2,0.075,17,52,14.1197916666667,1.25836618124183,1.11248023716181,2.37393291263302,-1.07432422188157,-0.417060851628316,2.35016363066771,-0.130188910980824,1.81181224231234,1.97460601166499,-0.82977017840132,1,0,1,0,0,1,0,"burned",0,0,"none",-0.115771090055071
"5",5,"0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,NA,1,1,0,1,1,NA,225,NA,165,223,229,229,233,NA,7.4507954543829,NA,11.8291199924548,8.52931451737881,4.80806371311347,10.1463048637576,5.66515744421217,NA,26.1,NA,22.8,28.3,16.1,27.2,20,NA,9,NA,11,11,9,3,8,NA,3,9,6,"SNWR",0,2.6,50,0,8,0,0,7.8,0.4,0.025,22,72,18.890350877193,2.16028381349825,1.94571061113626,1.37495442430327,-1.30337817640425,-1.04708120125131,-0.54209406186269,-0.130188910980824,2.73599846619115,0.311779896578683,-0.957177961161705,1,0,1,0,0,1,0,"burned",0,0,"none",-0.67493025930597
"6",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,0,1,1,0,NA,159,230,139,229,244,235,243,NA,11.732853570448,12.3328816200627,12.1356157534652,4.10806371311347,6.83714211410946,9.2078921917412,6.39564457350307,NA,23.9,27.2,16.1,15.6,24.4,27.2,23.3,NA,3,5,6,9,8,14,8,NA,6,9,6,"SNWR",10.67,10,39.17,0,18.33,0,0,11.17,0,0.1875,7.5,46.67,8.30128205128205,1.01800513224549,1.34411828112671,2.26089061000623,-0.933074283259245,0.0124984776600864,-0.54209406186269,-0.130188910980824,0.68460970845016,-0.519633160964472,-0.543102667190454,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-1.020466569501
"7",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,1,1,1,0,0,161,225,165,224,232,123,235,244,10.673173517651,6.6507954543829,12.5457866591215,3.87584398057726,9.84720434864362,6.80153254151344,7.8578921917412,6.70872408138381,26.7,24.4,23.3,25,24.4,20.6,27.8,22.2,13,11,10,10,11,22,15,7,6,9,9,"SNWR",6.6,8.4,1.4,0.2,0,0,0,2.4,0.6,0.1625,5,6.4,5.49479166666667,-0.798006020302811,-0.753955800540945,-0.0446465854284749,-1.07432422188157,-0.216599831293728,-0.0600511131076228,-0.130188910980824,0.140916687056192,0.727486425350261,-0.606806558570646,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-1.08872512830084
"8",8,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,NA,1,1,NA,1,1,0,250,NA,132,228,NA,167,233,242,11.5107939194308,NA,8.25678406205442,10.4949949566523,NA,7.39539176974032,6.53182411087884,8.13257128225433,23.3,NA,15.6,17.2,NA,20,21.1,25,13,NA,15,0,NA,7,15,6,3,6,9,"SNWR",0,10.8,0,0,0,0,0,7.6,0.4,0.075,41,41,16.1916666666667,0.762311483500798,-0.831723968778559,1.32237660912802,-1.30337817640425,0.127047632136994,-0.54209406186269,-0.130188910980824,2.21319041373801,0.311779896578683,-0.82977017840132,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.609093607606845
"9",9,"0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,NA,1,1,1,1,1,0,237,NA,146,182,223,163,233,244,10.7741323974397,NA,5.33788298361831,10.4957989689377,11.5459811840455,6.89325620942646,11.4484907775455,5.57539074805048,22.2,NA,22.2,24.4,28.3,23.3,22.2,21.7,5,NA,6,7,14,11,8,8,3,9,9,"SNWR",0,1.8,22,1,0,0,0.4,6.4,0.4,0,32,54,19.1089743589744,1.34855794446747,0.390347246383961,1.00690971807652,-1.30337817640425,-1.16163035572821,1.86812068191265,-0.130188910980824,2.77835174201528,0.311779896578683,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.720892767894142
"10",10,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,1,0,175,225,168,231,NA,167,235,243,11.5829701803128,9.43412878771623,7.91065752241347,10.7008319314321,NA,8.76205843640698,11.8245588584079,8.86231124016974,20,26.7,21.7,21.7,NA,22.2,26.1,25,3,10,7,9,NA,5,17,5,6,6,9,"SNWR",0,0.8,58,0.2,16.25,0,0,10.6,0,0,17,75,4.48809523809524,2.29557145833672,2.39010014392263,2.11104383675677,-1.30337817640425,-1.30481679882435,-0.0600511131076228,-0.130188910980824,-0.0541076130008797,-0.519633160964472,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.0480408271243538
